vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,base_msrp,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract,:@computed_region_x4ys_rtnd,:@computed_region_fny7_vc3j,:@computed_region_8ddd_yn5v
5YJSA1E65N,Yakima,Granger,WA,98932.0,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15.0,187279214,"{'type': 'Point', 'coordinates': [-120.1871, 46.33949]}",PACIFICORP,53077002104.0,2746.0,4.0,22.0
KNDC3DLC5N,Yakima,Yakima,WA,98902.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15.0,210098241,"{'type': 'Point', 'coordinates': [-120.52041, 46.59751]}",PACIFICORP,53077001100.0,2746.0,4.0,20.0
5YJYGDEEXL,Snohomish,Everett,WA,98208.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,44.0,121781950,"{'type': 'Point', 'coordinates': [-122.18637, 47.89251]}",PUGET SOUND ENERGY INC,53061041610.0,3213.0,1.0,45.0
3C3CFFGE1G,Yakima,Yakima,WA,98908.0,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14.0,180778377,"{'type': 'Point', 'coordinates': [-120.60199, 46.59817]}",PACIFICORP,53077000401.0,2746.0,4.0,20.0
KNDCC3LD5K,Kitsap,Bremerton,WA,98312.0,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,26.0,2581225,"{'type': 'Point', 'coordinates': [-122.65223, 47.57192]}",PUGET SOUND ENERGY INC,53035080600.0,848.0,6.0,33.0
5YJXCAE29L,Kitsap,Silverdale,WA,98383.0,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,23.0,1843054,"{'type': 'Point', 'coordinates': [-122.69275, 47.65171]}",PUGET SOUND ENERGY INC,53035091206.0,848.0,6.0,29.0
5YJ3E1EB6L,King,Kent,WA,98030.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,47.0,182822020,"{'type': 'Point', 'coordinates': [-122.19975, 47.37483]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602.0,3009.0,8.0,46.0
JTDKN3DP9F,Kitsap,Bainbridge Island,WA,98110.0,2015,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,23.0,177904170,"{'type': 'Point', 'coordinates': [-122.521, 47.62732]}",PUGET SOUND ENERGY INC,53035090700.0,848.0,6.0,29.0
1G1FY6S07L,Kitsap,Port Orchard,WA,98367.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,26.0,132558002,"{'type': 'Point', 'coordinates': [-122.68471, 47.50524]}",PUGET SOUND ENERGY INC,53035092802.0,848.0,6.0,33.0
1G1RD6S55K,Yakima,Yakima,WA,98908.0,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,14.0,474853417,"{'type': 'Point', 'coordinates': [-120.60199, 46.59817]}",PACIFICORP,53077002801.0,2746.0,4.0,20.0
WA1VABGE7K,King,Shoreline,WA,98133.0,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,32.0,252912397,"{'type': 'Point', 'coordinates': [-122.35029, 47.71871]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700.0,3009.0,7.0,21.0
1N4AZ0CP1D,King,Seattle,WA,98119.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,36.0,245254355,"{'type': 'Point', 'coordinates': [-122.3684, 47.64586]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900.0,3009.0,7.0,31.0
4W5KHNRL1R,Snohomish,Bothell,WA,98012.0,2024,ACURA,ZDX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,277471652,"{'type': 'Point', 'coordinates': [-122.21061, 47.83448]}",PUGET SOUND ENERGY INC,53061051927.0,3213.0,1.0,1.0
3MW39FF06P,Kitsap,Silverdale,WA,98383.0,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,23.0,259821229,"{'type': 'Point', 'coordinates': [-122.69275, 47.65171]}",PUGET SOUND ENERGY INC,53035091205.0,848.0,6.0,29.0
WBY1Z6C37H,King,Seattle,WA,98125.0,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,46.0,282181980,"{'type': 'Point', 'coordinates': [-122.30253, 47.72656]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000700.0,3009.0,7.0,48.0
5YJ3E1EA2J,Snohomish,Everett,WA,98204.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21.0,178546133,"{'type': 'Point', 'coordinates': [-122.27557, 47.88936]}",PUGET SOUND ENERGY INC,53061041901.0,3213.0,2.0,7.0
5YJ3E1EA6L,King,Tukwila,WA,98168.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,11.0,102657789,"{'type': 'Point', 'coordinates': [-122.3317, 47.50314]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027200.0,3009.0,7.0,37.0
5YJ3E1EA4J,Kitsap,Poulsbo,WA,98370.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23.0,474888991,"{'type': 'Point', 'coordinates': [-122.64681, 47.73689]}",PUGET SOUND ENERGY INC,53035090201.0,848.0,6.0,29.0
1FADP5CU0G,Kitsap,Kingston,WA,98346.0,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23.0,1465033,"{'type': 'Point', 'coordinates': [-122.4977, 47.79802]}",PUGET SOUND ENERGY INC,53035090102.0,848.0,6.0,29.0
7FCTGAAA3P,Kitsap,Seabeck,WA,98380.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35.0,267014016,"{'type': 'Point', 'coordinates': [-122.81585, 47.64509]}",PUGET SOUND ENERGY INC,53035091301.0,848.0,6.0,39.0
1N4AZ0CP4D,Kitsap,Bremerton,WA,98310.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23.0,181560599,"{'type': 'Point', 'coordinates': [-122.61136, 47.5752]}",PUGET SOUND ENERGY INC,53035080400.0,848.0,6.0,29.0
1G1RD6E42E,Kitsap,Bremerton,WA,98312.0,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,35.0,187081191,"{'type': 'Point', 'coordinates': [-122.65223, 47.57192]}",PUGET SOUND ENERGY INC,53035080700.0,848.0,6.0,33.0
5YJ3E1EB6J,Snohomish,Mukilteo,WA,98275.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21.0,475060603,"{'type': 'Point', 'coordinates': [-122.29196, 47.89908]}",PUGET SOUND ENERGY INC,53061042005.0,3213.0,2.0,7.0
1N4AZ0CP0D,King,Seattle,WA,98125.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,46.0,211771696,"{'type': 'Point', 'coordinates': [-122.30253, 47.72656]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900.0,3009.0,7.0,48.0
5YJ3E1EB2L,Yakima,Yakima,WA,98902.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,14.0,274036927,"{'type': 'Point', 'coordinates': [-120.52041, 46.59751]}",PACIFICORP,53077000600.0,2746.0,4.0,20.0
JM3KKBHA9R,Kitsap,Kingston,WA,98346.0,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,23.0,275123642,"{'type': 'Point', 'coordinates': [-122.4977, 47.79802]}",PUGET SOUND ENERGY INC,53035090102.0,848.0,6.0,29.0
2C4RC1N72L,Snohomish,Mill Creek,WA,98012.0,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,44.0,107651001,"{'type': 'Point', 'coordinates': [-122.21061, 47.83448]}",PUGET SOUND ENERGY INC,53061052004.0,3213.0,1.0,1.0
7JRH60FW2P,Thurston,Yelm,WA,98597.0,2023,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,41,0,2.0,275696725,"{'type': 'Point', 'coordinates': [-122.60735, 46.94239]}",PUGET SOUND ENERGY INC,53067012532.0,2742.0,10.0,2.0
5YJSA1E25K,King,Kent,WA,98042.0,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,47.0,214922046,"{'type': 'Point', 'coordinates': [-122.09124, 47.33778]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031707.0,3009.0,8.0,46.0
WP0CK2A78N,Kitsap,Poulsbo,WA,98370.0,2022,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,23.0,193230292,"{'type': 'Point', 'coordinates': [-122.64681, 47.73689]}",PUGET SOUND ENERGY INC,53035940100.0,848.0,6.0,29.0
7FCTGBAA0P,Kitsap,Kingston,WA,98346.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23.0,271119152,"{'type': 'Point', 'coordinates': [-122.4977, 47.79802]}",PUGET SOUND ENERGY INC,53035090102.0,848.0,6.0,29.0
5YJSA1E18G,Yakima,Toppenish,WA,98948.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,15.0,477474546,"{'type': 'Point', 'coordinates': [-120.31298, 46.37508]}",PACIFICORP,53077940006.0,2746.0,4.0,22.0
5YJSA1E29J,Thurston,Olympia,WA,98502.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,22.0,211037095,"{'type': 'Point', 'coordinates': [-122.92333, 47.03779]}",PUGET SOUND ENERGY INC,53067011100.0,2742.0,10.0,28.0
1N4BZ0CP6G,King,Seattle,WA,98125.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46.0,348134671,"{'type': 'Point', 'coordinates': [-122.30253, 47.72656]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000202.0,3009.0,7.0,48.0
