vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,base_msrp,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract,:@computed_region_x4ys_rtnd,:@computed_region_fny7_vc3j,:@computed_region_8ddd_yn5v
5YJSA1E65N,Yakima,Granger,WA,98932,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,187279214,"{'type': 'Point', 'coordinates': [-120.1871, 46.33949]}",PACIFICORP,53077002104,2746,4,22
KNDC3DLC5N,Yakima,Yakima,WA,98902,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,210098241,"{'type': 'Point', 'coordinates': [-120.52041, 46.59751]}",PACIFICORP,53077001100,2746,4,20
5YJYGDEEXL,Snohomish,Everett,WA,98208,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,44,121781950,"{'type': 'Point', 'coordinates': [-122.18637, 47.89251]}",PUGET SOUND ENERGY INC,53061041610,3213,1,45
3C3CFFGE1G,Yakima,Yakima,WA,98908,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14,180778377,"{'type': 'Point', 'coordinates': [-120.60199, 46.59817]}",PACIFICORP,53077000401,2746,4,20
KNDCC3LD5K,Kitsap,Bremerton,WA,98312,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,26,2581225,"{'type': 'Point', 'coordinates': [-122.65223, 47.57192]}",PUGET SOUND ENERGY INC,53035080600,848,6,33
5YJXCAE29L,Kitsap,Silverdale,WA,98383,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,23,1843054,"{'type': 'Point', 'coordinates': [-122.69275, 47.65171]}",PUGET SOUND ENERGY INC,53035091206,848,6,29
5YJ3E1EB6L,King,Kent,WA,98030,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,47,182822020,"{'type': 'Point', 'coordinates': [-122.19975, 47.37483]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602,3009,8,46
JTDKN3DP9F,Kitsap,Bainbridge Island,WA,98110,2015,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,23,177904170,"{'type': 'Point', 'coordinates': [-122.521, 47.62732]}",PUGET SOUND ENERGY INC,53035090700,848,6,29
1G1FY6S07L,Kitsap,Port Orchard,WA,98367,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,26,132558002,"{'type': 'Point', 'coordinates': [-122.68471, 47.50524]}",PUGET SOUND ENERGY INC,53035092802,848,6,33
1G1RD6S55K,Yakima,Yakima,WA,98908,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,14,474853417,"{'type': 'Point', 'coordinates': [-120.60199, 46.59817]}",PACIFICORP,53077002801,2746,4,20
WA1VABGE7K,King,Shoreline,WA,98133,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,32,252912397,"{'type': 'Point', 'coordinates': [-122.35029, 47.71871]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700,3009,7,21
1N4AZ0CP1D,King,Seattle,WA,98119,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,36,245254355,"{'type': 'Point', 'coordinates': [-122.3684, 47.64586]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900,3009,7,31
4W5KHNRL1R,Snohomish,Bothell,WA,98012,2024,ACURA,ZDX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,277471652,"{'type': 'Point', 'coordinates': [-122.21061, 47.83448]}",PUGET SOUND ENERGY INC,53061051927,3213,1,1
3MW39FF06P,Kitsap,Silverdale,WA,98383,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,23,259821229,"{'type': 'Point', 'coordinates': [-122.69275, 47.65171]}",PUGET SOUND ENERGY INC,53035091205,848,6,29
WBY1Z6C37H,King,Seattle,WA,98125,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,46,282181980,"{'type': 'Point', 'coordinates': [-122.30253, 47.72656]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000700,3009,7,48
5YJ3E1EA2J,Snohomish,Everett,WA,98204,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,178546133,"{'type': 'Point', 'coordinates': [-122.27557, 47.88936]}",PUGET SOUND ENERGY INC,53061041901,3213,2,7
5YJ3E1EA6L,King,Tukwila,WA,98168,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,11,102657789,"{'type': 'Point', 'coordinates': [-122.3317, 47.50314]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027200,3009,7,37
5YJ3E1EA4J,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,474888991,"{'type': 'Point', 'coordinates': [-122.64681, 47.73689]}",PUGET SOUND ENERGY INC,53035090201,848,6,29
1FADP5CU0G,Kitsap,Kingston,WA,98346,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23,1465033,"{'type': 'Point', 'coordinates': [-122.4977, 47.79802]}",PUGET SOUND ENERGY INC,53035090102,848,6,29
7FCTGAAA3P,Kitsap,Seabeck,WA,98380,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,267014016,"{'type': 'Point', 'coordinates': [-122.81585, 47.64509]}",PUGET SOUND ENERGY INC,53035091301,848,6,39
1N4AZ0CP4D,Kitsap,Bremerton,WA,98310,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,181560599,"{'type': 'Point', 'coordinates': [-122.61136, 47.5752]}",PUGET SOUND ENERGY INC,53035080400,848,6,29
1G1RD6E42E,Kitsap,Bremerton,WA,98312,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,35,187081191,"{'type': 'Point', 'coordinates': [-122.65223, 47.57192]}",PUGET SOUND ENERGY INC,53035080700,848,6,33
5YJ3E1EB6J,Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,475060603,"{'type': 'Point', 'coordinates': [-122.29196, 47.89908]}",PUGET SOUND ENERGY INC,53061042005,3213,2,7
1N4AZ0CP0D,King,Seattle,WA,98125,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,46,211771696,"{'type': 'Point', 'coordinates': [-122.30253, 47.72656]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900,3009,7,48
5YJ3E1EB2L,Yakima,Yakima,WA,98902,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,14,274036927,"{'type': 'Point', 'coordinates': [-120.52041, 46.59751]}",PACIFICORP,53077000600,2746,4,20
JM3KKBHA9R,Kitsap,Kingston,WA,98346,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,23,275123642,"{'type': 'Point', 'coordinates': [-122.4977, 47.79802]}",PUGET SOUND ENERGY INC,53035090102,848,6,29
2C4RC1N72L,Snohomish,Mill Creek,WA,98012,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,44,107651001,"{'type': 'Point', 'coordinates': [-122.21061, 47.83448]}",PUGET SOUND ENERGY INC,53061052004,3213,1,1
7JRH60FW2P,Thurston,Yelm,WA,98597,2023,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,41,0,2,275696725,"{'type': 'Point', 'coordinates': [-122.60735, 46.94239]}",PUGET SOUND ENERGY INC,53067012532,2742,10,2
5YJSA1E25K,King,Kent,WA,98042,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,47,214922046,"{'type': 'Point', 'coordinates': [-122.09124, 47.33778]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031707,3009,8,46
WP0CK2A78N,Kitsap,Poulsbo,WA,98370,2022,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,23,193230292,"{'type': 'Point', 'coordinates': [-122.64681, 47.73689]}",PUGET SOUND ENERGY INC,53035940100,848,6,29
7FCTGBAA0P,Kitsap,Kingston,WA,98346,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,271119152,"{'type': 'Point', 'coordinates': [-122.4977, 47.79802]}",PUGET SOUND ENERGY INC,53035090102,848,6,29
